date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:52	22293/22293	---M-Z	200	added ('OK')	text/html	etag:%22250a41e3d9c4261724005d27db2a5859%22	http://2008.drupalcamptoronto.org/	./2008.drupalcamptoronto.org/index/index.html	(from )
15:58:52	1649/1649	---M-Z	200	added ('OK')	text/css	etag:%22446f-671-44e2d5025ec00%22	http://2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/themes/zen/zen_dcto/print.css	./2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/themes/zen/zen_dcto/print/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:53	10514/10514	---M-Z	200	added ('OK')	application/rss+xml	etag:%22936e826fae46258e54ad0163d58637a1%22	http://2008.drupalcamptoronto.org/rss.xml	./2008.drupalcamptoronto.org/rss/index.xml	(from http://2008.drupalcamptoronto.org/)
15:58:53	2073/2073	---M-Z	200	added ('OK')	text/css	etag:%22429b-819-44e2d51665b40%22	http://2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/modules/fivestar/css/fivestar.css	./2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/modules/fivestar/css/fivestar/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:53	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%224468-3aee-44e2d5025ec00%22	http://2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/themes/zen/zen_dcto/favicon.ico	./2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/themes/zen/zen_dcto/favicon/index.ico	(from http://2008.drupalcamptoronto.org/)
15:58:53	678/678	---M-Z	200	added ('OK')	text/css	etag:%223a46-2a6-43606b4ced480%22	http://2008.drupalcamptoronto.org/modules/node/node.css	./2008.drupalcamptoronto.org/modules/node/node/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:54	737/737	---M-Z	200	added ('OK')	text/css	etag:%223a7f-2e1-41bd3d165c600%22	http://2008.drupalcamptoronto.org/modules/system/defaults.css	./2008.drupalcamptoronto.org/modules/system/defaults/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:54	6932/6932	---M-Z	200	added ('OK')	text/css	etag:%223a80-1b14-4251f9b444880%22	http://2008.drupalcamptoronto.org/modules/system/system.css	./2008.drupalcamptoronto.org/modules/system/system/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:54	858/858	---M-Z	200	added ('OK')	text/css	etag:%223aa4-35a-425cd90943cc0%22	http://2008.drupalcamptoronto.org/modules/user/user.css	./2008.drupalcamptoronto.org/modules/user/user/index.css	(from http://2008.drupalcamptoronto.org/)
15:58:54	368/368	---M-Z	200	added ('OK')	text/css	etag:%2241ae-170-44e2d5090bbc0%22	http://2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/modules/cck/content.css	./2008.drupalcamptoronto.org/sites/2008.drupalcamptoronto.org/modules/cck/content/index.css	(from http://2008.drupalcamptoronto.org/)
