date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:23	34871/34871	---MCZ	200	added ('OK')	text/html	etag:W/%221480916422%22	http://2012.drupalcamptoronto.org/	./2012.drupalcamptoronto.org/index/index.html	(from )
14:40:24	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%225844e70b-10be%22	http://2012.drupalcamptoronto.org/misc/favicon.ico	./2012.drupalcamptoronto.org/misc/favicon/index.ico	(from http://2012.drupalcamptoronto.org/)
14:40:24	683/683	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-2ab%22	http://2012.drupalcamptoronto.org/modules/node/node.css?R	./2012.drupalcamptoronto.org/modules/node/node/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:24	25324/25324	---M--	200	added ('OK')	application/rss+xml	etag:%221480916423%22	http://2012.drupalcamptoronto.org/rss.xml	./2012.drupalcamptoronto.org/rss/index.xml	(from http://2012.drupalcamptoronto.org/)
14:40:24	695/695	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-2b7%22	http://2012.drupalcamptoronto.org/modules/system/defaults.css?R	./2012.drupalcamptoronto.org/modules/system/defaults/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:24	9961/9961	---MCZ	200	added ('OK')	text/css	etag:W/%225844e70b-26e9%22	http://2012.drupalcamptoronto.org/modules/system/system.css?R	./2012.drupalcamptoronto.org/modules/system/system/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:25	870/870	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-366%22	http://2012.drupalcamptoronto.org/modules/system/system-menus.css?R	./2012.drupalcamptoronto.org/modules/system/system-menus/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:25	1067/1067	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-42b%22	http://2012.drupalcamptoronto.org/modules/user/user.css?R	./2012.drupalcamptoronto.org/modules/user/user/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:25	2397/2397	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-95d%22	http://2012.drupalcamptoronto.org/profiles/cod/modules/contrib/cck/theme/content-module.css?R	./2012.drupalcamptoronto.org/profiles/cod/modules/contrib/cck/theme/content-module/index.css	(from http://2012.drupalcamptoronto.org/)
14:40:25	509/509	---M-Z	200	added ('OK')	text/css	etag:W/%225844e70b-1fd%22	http://2012.drupalcamptoronto.org/profiles/cod/modules/contrib/ctools/css/ctools.css?R	./2012.drupalcamptoronto.org/profiles/cod/modules/contrib/ctools/css/ctools/index.css	(from http://2012.drupalcamptoronto.org/)
